code,name,name_tv,gender,function,country_code,disciplines,events,birth_date
1561365,HINRICHS Teo,Teo HINRICHS,Male,Athlete,GER,['Hockey'],['Men'],1999-09-17
1561374,HELLWIG Malte,Malte HELLWIG,Male,Athlete,GER,['Hockey'],['Men'],1997-10-23
1561377,MUELLER Hannes,Hannes MUELLER,Male,Athlete,GER,['Hockey'],['Men'],2000-05-18
1561381,WEIGAND Justus,Justus WEIGAND,Male,Athlete,GER,['Hockey'],['Men'],2000-04-20
1561386,LUDWIG Moritz,Moritz LUDWIG,Male,Athlete,GER,['Hockey'],['Men'],2001-09-14
1561393,DAVIDSMEYER Emma,Emma DAVIDSMEYER,Female,Athlete,GER,['Hockey'],['Women'],1999-03-30
1561395,KURZ Stine,Stine KURZ,Female,Athlete,GER,['Hockey'],['Women'],2000-05-20
1561397,MICHEEL Lena,Lena MICHEEL,Female,Athlete,GER,['Hockey'],['Women'],1998-04-29
1561398,NOLTE Lisa,Lisa NOLTE,Female,Athlete,GER,['Hockey'],['Women'],2001-02-05
1561399,ZIMMERMANN Sonja,Sonja ZIMMERMANN,Female,Athlete,GER,['Hockey'],['Women'],1999-06-15
1561402,DANNEBERG Jean-Paul,Jean-Paul DANNEBERG,Male,Athlete,GER,['Hockey'],['Men'],2002-11-08
1561405,FLESCHUETZ Jette,Jette FLESCHUETZ,Female,Athlete,GER,['Hockey'],['Women'],2002-10-23
1561408,WEIDEMANN Linnea,Linnea WEIDEMANN,Female,Athlete,GER,['Hockey'],['Women'],2003-09-15
1561409,WIEDERMANN Felicia,Felicia WIEDERMANN,Female,Athlete,GER,['Hockey'],['Women'],2002-01-28
1561413,PEILLAT Gonzalo,Gonzalo PEILLAT,Male,Athlete,GER,['Hockey'],['Men'],1992-08-12
1561430,MEBRAHTU Merhawi,Merhawi MEBRAHTU,Male,Athlete,ERI,['Athletics'],"[""Men's 10,000m""]",2003-09-21
1561708,DANIEL Rahel,Rahel DANIEL,Female,Athlete,ERI,['Athletics'],"[""Women's 10,000m""]",2001-11-16
1561770,SEIDLER Philli,Phillip SEIDLER,Male,Athlete,NAM,['Marathon Swimming'],"[""Men's 10km""]",1998-03-25
1561773,TRAJKOVIC Milan,Milan TRAJKOVIC,Male,Athlete,CYP,['Athletics'],"[""Men's 110m Hurdles""]",1992-03-17
1561789,TORRES Gladymar,Gladymar TORRES,Female,Athlete,PUR,['Athletics'],"[""Women's 100m""]",2003-03-26
1561820,FOTOPOULOU Olivia,Olivia FOTOPOULOU,Female,Athlete,CYP,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1996-12-20
1561939,FERREIRA Jacira,Jacira FERREIRA,Female,Athlete,MOZ,['Judo'],['Women -52 kg'],1997-12-16
1561941,UKPESERAYE Ese,Ese UKPESERAYE,Female,Athlete,NGR,"['Cycling Road', 'Cycling Track']","[""Women's Road Race"", ""Women's Keirin"", ""Women's Sprint""]",1999-03-21
1561962,GARIBAY Hector,Hector GARIBAY,Male,Athlete,BOL,['Athletics'],"[""Men's Marathon""]",1988-07-09
1562026,PINEIRO Isaiah,Isaiah PINEIRO,Male,Athlete,PUR,['Basketball'],['Men'],1995-02-02
1562033,TORO Arnaldo,Arnaldo TORO,Male,Athlete,PUR,['Basketball'],['Men'],1997-10-28
1562077,GILL Shaun,Shaun GILL,Male,Athlete,BIZ,['Athletics'],"[""Men's 100m""]",1993-04-09
1562085,DONU Sesenieli,Sesenieli DONU,Female,Athlete,FIJ,['Rugby Sevens'],['Women'],1996-03-03
1562091,DAVEUA Raijieli,Raijieli DAVEUA,Female,Athlete,FIJ,['Rugby Sevens'],['Women'],1992-05-30
1562093,DELAIWAU Ilisapeci,Ilisapeci DELAIWAU,Female,Athlete,FIJ,['Rugby Sevens'],['Women'],2000-06-01
1562097,BULEKI Adi Vani,Adi Vani BULEKI,Female,Athlete,FIJ,['Rugby Sevens'],['Women'],2000-10-23
1562106,DITAVUTU Verenaisi,Verenaisi DITAVUTU,Female,Athlete,FIJ,['Rugby Sevens'],['Women'],1999-09-07
1562117,RATULU Viliame,Viliame RATULU,Male,Athlete,FIJ,['Sailing'],"[""Men's Dinghy""]",2000-03-10
1562121,McCUTCHEON Anahira,Anahira McCUTCHEON,Female,Athlete,FIJ,['Swimming'],"[""Women's 50m Freestyle""]",2009-10-05
1562136,ALI Fathimath,Fathimath ALI,Female,Athlete,MDV,['Table Tennis'],"[""Women's Singles""]",2007-09-14
1562157,ABDULLAEV Gulomjon,Gulomjon ABDULLAEV,Male,Athlete,UZB,['Wrestling'],"[""Men's Freestyle 57kg""]",1998-11-11
1562164,JAMALOV Razambek Salambekovitch,Razambek Salambekovitch JAMALOV,Male,Athlete,UZB,['Wrestling'],"[""Men's Freestyle 74kg""]",1998-06-01
1562175,SHAPIEV Javrail,Javrail SHAPIEV,Male,Athlete,UZB,['Wrestling'],"[""Men's Freestyle 86kg""]",1997-04-20
1562208,HUSSEN Amr,Amr HUSSEN,Male,Athlete,EGY,['Wrestling'],"[""Men's Freestyle 74kg""]",1997-08-26
1562218,ABDELMOTTALEB Diaaeldin,Diaaeldin ABDELMOTTALEB,Male,Athlete,EGY,['Wrestling'],"[""Men's Freestyle 125kg""]",1993-05-02
1562222,HUSSEIN Farida,Farida HUSSEIN,Female,Athlete,EGY,['Rhythmic Gymnastics'],['Group All-Around'],2006-02-07
1562224,MOHAMED Gamal,Gamal MOHAMED,Male,Athlete,EGY,['Wrestling'],"[""Men's Freestyle 57kg""]",1999-02-24
1562239,SCHMIRL Alexander,Alexander SCHMIRL,Male,Athlete,AUT,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men']",1989-09-19
1562240,STEINER Sylvia,Sylvia STEINER,Female,Athlete,AUT,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",1982-05-07
1562241,STREMPFL Martin,Martin STREMPFL,Male,Athlete,AUT,['Shooting'],"['10m Air Rifle Men', '10m Air Rifle Mixed Team']",1984-08-01
1562242,THUM Andreas,Andreas THUM,Male,Athlete,AUT,['Shooting'],['50m Rifle 3 Positions Men'],1999-01-20
1562243,UNGERANK Nadine,Nadine UNGERANK,Female,Athlete,AUT,['Shooting'],"['10m Air Rifle Women', '50m Rifle 3 Positions Women', '10m Air Rifle Mixed Team']",1996-04-03
1562246,JAHL Marlene,Marlene JAHL,Female,Athlete,AUT,['Taekwondo'],['Women +67kg'],1995-04-07
1562274,ELDERS Mostafa,Mostafa ELDERS,Male,Athlete,EGY,['Wrestling'],"[""Men's Freestyle 97kg""]",1998-12-12
1562275,ASSAKALOV Rustam,Rustam ASSAKALOV,Male,Athlete,UZB,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1984-07-13
1562276,SLAOUI Noor,Noor SLAOUI,Female,Athlete,MAR,['Equestrian'],['Eventing Individual'],1995-01-21
1562280,BAKHRAMOV Islomjon,Islomjon BAKHRAMOV,Male,Athlete,UZB,['Wrestling'],"[""Men's Greco-Roman 60kg""]",1995-07-17
1562295,JOSEPH Gulfam,Gulfam JOSEPH,Male,Athlete,PAK,['Shooting'],"['10m Air Pistol Men', '10m Air Pistol Mixed Team']",1999-12-17
1562297,NHAQUILE Deizy,Deizy NHAQUILE,Female,Athlete,MOZ,['Sailing'],"[""Women's Dinghy""]",2000-07-30
1562300,VARDANYAN Aram,Aram VARDANYAN,Male,Athlete,UZB,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1995-11-11
1562302,GRABHER Julia,Julia GRABHER,Female,Athlete,AUT,['Tennis'],"[""Women's Singles""]",1996-07-02
